"Admin_District";"GDP_2014"
"Erding";27600
"Freising";43600
"Fürstenfeldbruck";23200
"Garmisch-Partenkirchen";26100
"Landsberg am Lech";28600
"Miesbach";30500
"Mühldorf am Inn";30200
"München";98900
"Neuburg-Schrobenhausen";30600
"Pfaffenhofen an der Ilm";34700
"Rosenheim";28500
"Starnberg";38500
"Weiden in der Oberpfalz";51300
"Traunstein";35800
"Weilheim-Schongau";34500
"Landshut";55300
"Passau";60300
"Deggendorf";35200
"Freyung-Grafenau";25800
"Kelheim";28800
"Coburg";77900
"Landshut (Kreisfreie Stadt)";32400
"Passau (Kreisfreie Stadt)";27500
"Regen";27500
"Rottal-Inn";28400
"Straubing-Bogen";23300
"Dingolfing-Landau";63600
"Amberg-Sulzbach";24300
"Cham";30800
"Neumarkt in der Oberpfalz";33400
"Neustadt an der Waldnaab";27200
"Regensburg (Kreisfreie Stadt)";22300
"Hof (Kreisfreie Stadt)";40800
"Schwandorf";32800
"Tirschenreuth";29600
"Bamberg";56100
"Bayreuth";57700
"Bamberg (Kreisfreie Stadt)";23300
"Bayreuth (Kreisfreie Stadt)";18800
"Ansbach";52500
"Coburg (Kreisfreie Stadt)";24800
"Forchheim";22500
"Hof";29600
"Kronach";29000
"Kulmbach";31100
"Lichtenfels";32300
"Wunsiedel im Fichtelgebirge";29900
"Nürnberg";52600
"Schwabach";32800
"Ansbach (Kreisfreie Stadt)";27500
"Aschaffenburg";67800
"Erlangen-Höchstadt";31600
"Fürth (Kreisfreie Stadt)";20900
"Nürnberger Land";29000
"Neustadt an der Aisch-Bad Windsheim";24700
"Roth";25300
"Weißenburg-Gunzenhausen";28100
"Würzburg (Kreisfreie Stadt)";58400
"Aschaffenburg (Kreisfreie Stadt)";29000
"Bad Kissingen";27400
"Memmingen";56800
"Rhön-Grabfeld";33200
"Haßberge";27500
"Kitzingen";29100
"Miltenberg";30200
"Main-Spessart";32400
"Aichach-Friedberg";24100
"Schweinfurt (Kreisfreie Stadt)";22700
"Würzburg";23600
"Augsburg (Kreisfreie Stadt)";45300
"Augsburg";26900
"Dillingen an der Donau";30400
"Günzburg";41400
"Neu-Ulm";33500
"Lindau (Bodensee)";33800
"Ostallgäu";31000
"Gera, Stadt";26000
"Unterallgäu";33400
"Donau-Ries";44400
"Oberallgäu";27900
"Regionalverband Saarbrücken";43400
"Merzig-Wadern";26200
"Neunkirchen";23900
"Saarlouis";31200
"Saarpfalz-Kreis";37200
"St. Wendel";23100
"Berlin, Stadt";33900
"Brandenburg an der Havel, Stadt";28100
"Cottbus, Stadt";30600
"Frankfurt (Oder), Stadt";32800
"Potsdam, Stadt";37200
"Barnim";19200
"Dahme-Spreewald";32200
"Elbe-Elster";21400
"Jena, Stadt";36900
"Havelland";18400
"Märkisch-Oderland";18300
"Suhl, Stadt";28500
"Oberhavel";25000
"Oberspreewald-Lausitz";23000
"Erzgebirgskreis";20400
"Oder-Spree";22500
"Ostprignitz-Ruppin";22900
"Weimar, Stadt";29100
"Potsdam-Mittelmark";21700
"Prignitz";22900
