"","state_abbr","Hispanic","White","Black","Asian","Amerindian","Other"
"28","NE",0.0846056611114353,0.831644396275022,0.0425041715646633,0.0167298098326761,0.00746129540547075,0.0171205624150667
"35","ND",0.0197854809973984,0.892580481965169,0.0103840038893724,0.00924453057013139,0.0526099799282783,0.0153754455937465
"42","SD",0.0261475865203252,0.853040914853644,0.0107629856543459,0.00888560542187001,0.0832018269506576,0.0179084215061881
